variant,accuracy,avg_inference_us,train_ms,notes
Full Pipeline (Ours),1,0.00611,5.955,SRR+Outlier+HalfPlane
Without SRR Grid,1,0.251943,0,No O(1) grid hint
Without Outlier Removal,1,0.00291667,5.032,No Phase 1 cleanup
Nearest Vertex Only (1-NN),1,0.624167,0,No half-plane boundary
2D Buckets Classification,1,0.00305667,0,O(1) bucket-based path
Outlier multiplier=1.50,1,0,0,1104 vertices
Outlier multiplier=2.00,1,0,0,1149 vertices
Outlier multiplier=3.00,1,0,0,1182 vertices
Outlier multiplier=5.00,1,0,0,1194 vertices
Outlier multiplier=10.0,1,0,0,1200 vertices
